Latitude (decimal degrees): 48.351
Longitude (decimal degrees): 10.164
Elevation (m): 492.0
Irradiance Time Offset (h): 0.1798
month,year
1,2021
2,2011
3,2021
4,2017
5,2012
6,2009
7,2015
8,2014
9,2009
10,2017
11,2007
12,2018
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20170419:2000,0.44,54.95,0.0,-0.0,0.0,223.9,2.69,33.0,96450.0
20170419:2100,-0.22,57.1,0.0,-0.0,0.0,222.95,2.48,30.0,96470.0
20170419:2200,-0.88,61.65,0.0,-0.0,0.0,217.5,2.28,25.0,96470.0
20170419:2300,-1.3,64.25,0.0,-0.0,0.0,223.7,2.28,21.0,96490.0
20170420:0000,-1.81,66.8,0.0,-0.0,0.0,215.4,2.28,20.0,96480.0
20170420:0100,-2.24,72.3,0.0,-0.0,0.0,213.15,2.21,21.0,96480.0
20170420:0200,-2.72,75.2,0.0,-0.0,0.0,208.05,2.14,23.0,96470.0
20170420:0300,-3.14,81.45,0.0,-0.0,0.0,207.65,2.07,24.0,96470.0
20170420:0400,-3.69,84.7,0.0,-0.0,0.0,205.5,1.93,24.0,96490.0
20170420:0500,-3.88,88.15,69.0,156.86,49.0,206.85,1.72,25.0,96540.0
20170420:0600,-1.5,81.65,236.0,421.32,111.0,208.8,1.93,32.0,96580.0
20170420:0700,0.0,75.6,439.0,704.22,118.0,237.05,2.83,48.0,96650.0
20170420:0800,1.33,62.25,355.0,101.0,295.0,252.55,2.69,49.0,96640.0
20170420:0900,2.61,51.15,217.0,0.0,217.0,251.75,2.55,40.0,96650.0
20170420:1000,2.88,49.25,514.0,145.02,402.0,289.1,2.62,29.0,96620.0
20170420:1100,3.69,49.4,765.0,589.89,293.0,287.6,2.62,22.0,96630.0
20170420:1200,4.4,47.6,715.0,502.79,321.0,288.35,2.62,18.0,96580.0
20170420:1300,5.11,45.85,656.0,501.46,293.0,288.35,2.69,15.0,96580.0
20170420:1400,5.45,42.45,600.0,640.01,200.0,285.45,2.76,14.0,96560.0
20170420:1500,5.7,40.75,469.0,656.3,145.0,284.1,2.76,16.0,96530.0
20170420:1600,5.51,40.75,299.0,572.43,105.0,294.15,2.0,17.0,96520.0
20170420:1700,5.27,44.15,109.0,245.31,67.0,281.4,0.9,11.0,96520.0
20170420:1800,4.6,58.05,0.0,0.0,0.0,267.05,0.62,245.0,96520.0
20170420:1900,2.87,57.8,0.0,-0.0,0.0,271.5,1.52,193.0,96610.0
20170420:2000,1.78,62.35,0.0,-0.0,0.0,267.65,1.66,197.0,96650.0
20170420:2100,0.86,64.65,0.0,-0.0,0.0,256.2,1.86,204.0,96630.0
20170420:2200,-0.24,67.1,0.0,-0.0,0.0,233.0,2.07,210.0,96620.0
20170420:2300,-1.2,72.5,0.0,-0.0,0.0,225.45,2.07,215.0,96590.0
20170421:0000,-2.14,78.35,0.0,-0.0,0.0,220.2,2.0,221.0,96560.0
20170421:0100,-2.87,81.45,0.0,-0.0,0.0,219.35,1.86,226.0,96520.0
20170421:0200,-3.25,81.45,0.0,-0.0,0.0,218.7,1.79,228.0,96470.0
20170421:0300,-3.4,81.4,0.0,-0.0,0.0,218.65,1.72,227.0,96450.0
20170421:0400,-3.41,81.4,0.0,-0.0,0.0,218.7,1.66,225.0,96440.0
20170421:0500,-2.97,81.45,80.0,241.49,48.0,219.65,1.45,221.0,96440.0
20170421:0600,0.14,78.65,152.0,69.66,131.0,222.95,1.03,223.0,96450.0
20170421:0700,3.12,67.7,353.0,325.84,203.0,229.7,1.45,228.0,96510.0
20170421:0800,5.01,55.95,438.0,249.02,289.0,235.9,1.52,233.0,96520.0
20170421:0900,6.33,52.1,591.0,392.33,314.0,241.5,1.24,244.0,96500.0
20170421:1000,7.39,50.35,826.0,883.92,140.0,245.95,1.1,252.0,96480.0
20170421:1100,8.33,48.65,870.0,918.23,132.0,248.65,1.31,256.0,96430.0
20170421:1200,9.13,48.8,844.0,899.55,136.0,252.35,1.59,259.0,96380.0
20170421:1300,9.79,47.2,761.0,852.54,141.0,255.05,1.93,262.0,96310.0
20170421:1400,10.27,45.55,651.0,843.5,121.0,255.05,2.28,264.0,96250.0
20170421:1500,10.46,45.55,482.0,730.26,119.0,255.65,2.55,264.0,96200.0
20170421:1600,10.3,45.55,309.0,636.62,91.0,255.65,2.69,264.0,96150.0
20170421:1700,9.62,52.85,109.0,228.68,69.0,255.85,2.14,260.0,96140.0
20170421:1800,7.79,58.9,0.0,0.0,0.0,254.3,2.21,248.0,96130.0
20170421:1900,6.29,60.85,0.0,-0.0,0.0,252.95,2.48,230.0,96100.0
20170421:2000,5.08,65.4,0.0,-0.0,0.0,254.1,2.62,229.0,96120.0
20170421:2100,4.28,67.9,0.0,-0.0,0.0,252.95,2.76,228.0,96090.0
20170421:2200,3.82,65.3,0.0,-0.0,0.0,255.85,2.83,229.0,96070.0
20170421:2300,3.49,65.2,0.0,-0.0,0.0,256.05,2.9,232.0,96020.0
20170422:0000,3.22,62.7,0.0,-0.0,0.0,255.05,2.9,234.0,96000.0
20170422:0100,3.1,65.1,0.0,-0.0,0.0,259.05,2.97,236.0,95940.0
20170422:0200,2.84,65.1,0.0,-0.0,0.0,250.2,2.9,239.0,95880.0
20170422:0300,2.68,67.6,0.0,-0.0,0.0,252.95,2.83,243.0,95850.0
20170422:0400,2.62,67.6,0.0,-0.0,0.0,261.85,2.62,246.0,95830.0
20170422:0500,2.77,70.4,10.0,0.0,10.0,268.2,2.48,247.0,95810.0
20170422:0600,4.14,73.4,85.0,0.0,85.0,280.6,2.21,249.0,95840.0
20170422:0700,6.79,65.85,58.0,0.0,58.0,285.05,2.83,249.0,95820.0
20170422:0800,8.77,59.15,132.0,0.0,132.0,292.8,3.45,263.0,95790.0
20170422:0900,9.97,61.65,160.0,0.0,160.0,287.6,5.03,280.0,95760.0
20170422:1000,10.64,59.5,115.0,0.0,115.0,313.1,5.38,283.0,95720.0
20170422:1100,10.76,59.5,110.0,0.0,110.0,325.5,5.38,286.0,95670.0
20170422:1200,10.4,59.5,217.0,0.0,217.0,332.1,4.83,288.0,95650.0
20170422:1300,10.33,59.5,198.0,0.0,198.0,337.1,4.69,284.0,95590.0
20170422:1400,10.57,59.5,82.0,0.0,82.0,323.2,5.03,283.0,95540.0
20170422:1500,9.38,68.9,97.0,0.0,97.0,323.4,4.21,293.0,95520.0
20170422:1600,8.38,76.85,60.0,0.0,60.0,323.95,3.86,310.0,95530.0
20170422:1700,7.23,85.75,36.0,0.0,36.0,331.3,3.38,317.0,95540.0
20170422:1800,6.36,85.7,0.0,0.0,0.0,327.65,2.83,313.0,95570.0
20170422:1900,5.88,85.65,0.0,-0.0,0.0,317.95,2.55,320.0,95610.0
20170422:2000,5.43,88.85,0.0,-0.0,0.0,318.55,2.28,313.0,95640.0
20170422:2100,4.97,88.85,0.0,-0.0,0.0,308.5,2.0,303.0,95650.0
20170422:2200,4.51,88.8,0.0,-0.0,0.0,299.75,1.93,291.0,95640.0
20170422:2300,4.04,88.8,0.0,-0.0,0.0,292.05,1.93,285.0,95650.0
20170423:0000,3.55,88.75,0.0,-0.0,0.0,284.1,1.93,282.0,95650.0
20170423:0100,3.07,88.7,0.0,-0.0,0.0,278.8,1.93,281.0,95630.0
20170423:0200,2.28,88.65,0.0,-0.0,0.0,258.35,2.0,282.0,95610.0
20170423:0300,1.48,92.05,0.0,-0.0,0.0,245.6,2.0,285.0,95630.0
20170423:0400,1.05,92.05,0.0,-0.0,0.0,253.9,1.93,290.0,95660.0
20170423:0500,1.12,92.05,17.0,0.0,17.0,263.95,1.66,297.0,95680.0
20170423:0600,1.98,88.65,112.0,9.65,109.0,264.55,1.52,305.0,95740.0
20170423:0700,3.53,76.15,140.0,0.0,140.0,255.05,1.86,302.0,95790.0
20170423:0800,4.49,70.6,317.0,54.4,284.0,264.35,2.62,301.0,95770.0
20170423:0900,5.17,62.95,388.0,60.24,345.0,268.2,3.03,298.0,95780.0
20170423:1000,6.36,54.15,502.0,127.65,402.0,288.75,3.17,296.0,95760.0
20170423:1100,6.78,52.2,659.0,336.75,386.0,299.95,3.31,293.0,95740.0
20170423:1200,7.13,52.2,576.0,216.69,404.0,315.85,3.17,290.0,95720.0
20170423:1300,7.43,50.35,603.0,361.13,338.0,308.3,3.1,292.0,95710.0
20170423:1400,7.72,50.35,598.0,617.43,206.0,309.45,2.97,298.0,95670.0
20170423:1500,7.83,48.55,454.0,565.72,169.0,315.45,2.9,304.0,95670.0
20170423:1600,7.65,50.35,318.0,646.83,92.0,316.4,2.69,310.0,95640.0
20170423:1700,7.2,52.2,120.0,279.82,69.0,309.05,2.34,331.0,95670.0
20170423:1800,6.19,56.2,0.0,0.0,0.0,281.2,2.14,354.0,95690.0
20170423:1900,4.54,60.4,0.0,-0.0,0.0,241.3,2.14,21.0,95690.0
20170423:2000,3.34,62.7,0.0,-0.0,0.0,238.05,1.86,34.0,95750.0
20170423:2100,1.98,73.0,0.0,-0.0,0.0,237.65,1.66,56.0,95740.0
20170423:2200,0.77,78.8,0.0,-0.0,0.0,236.65,1.59,83.0,95710.0
20170423:2300,-0.02,81.8,0.0,-0.0,0.0,235.15,1.66,101.0,95670.0
20170424:0000,-0.7,81.75,0.0,-0.0,0.0,231.85,1.72,108.0,95610.0
20170424:0100,-1.18,81.7,0.0,-0.0,0.0,230.8,1.79,106.0,95540.0
20170424:0200,-1.58,81.65,0.0,-0.0,0.0,230.5,1.86,99.0,95470.0
20170424:0300,-1.95,84.85,0.0,-0.0,0.0,229.9,1.93,95.0,95400.0
20170424:0400,-2.16,84.85,0.0,-0.0,0.0,229.9,1.86,95.0,95340.0
20170424:0500,-1.79,84.95,102.0,360.31,49.0,229.7,1.66,97.0,95310.0
20170424:0600,1.58,82.0,279.0,608.83,87.0,231.05,1.24,98.0,95300.0
20170424:0700,4.22,70.6,460.0,737.1,111.0,235.5,1.31,112.0,95330.0
20170424:0800,6.24,65.75,617.0,792.56,133.0,240.55,1.24,114.0,95290.0
20170424:0900,8.17,63.6,746.0,838.9,144.0,246.35,0.97,134.0,95230.0
20170424:1000,9.93,55.05,831.0,864.07,151.0,252.15,0.76,186.0,95200.0
20170424:1100,11.54,51.35,874.0,897.97,143.0,258.15,1.17,231.0,95120.0
20170424:1200,12.87,48.0,852.0,892.08,141.0,265.1,1.59,250.0,95040.0
20170424:1300,13.78,48.15,769.0,845.31,146.0,268.2,1.86,257.0,94970.0
20170424:1400,14.41,44.9,652.0,814.91,132.0,271.9,1.93,257.0,94870.0
20170424:1500,14.71,44.9,480.0,670.51,140.0,275.4,1.86,256.0,94820.0
20170424:1600,14.65,44.9,310.0,583.84,104.0,276.35,1.66,254.0,94750.0
20170424:1700,14.08,52.0,128.0,328.15,67.0,275.75,1.03,235.0,94720.0
20170424:1800,12.41,57.75,0.0,0.0,0.0,273.65,1.59,198.0,94690.0
20170424:1900,10.01,66.45,0.0,-0.0,0.0,275.6,2.55,196.0,94550.0
20170424:2000,8.96,68.8,0.0,-0.0,0.0,280.6,2.62,201.0,94530.0
20170424:2100,8.39,68.7,0.0,-0.0,0.0,280.6,2.69,206.0,94490.0
20170424:2200,8.04,71.25,0.0,-0.0,0.0,283.5,2.76,211.0,94420.0
20170424:2300,7.96,71.25,0.0,-0.0,0.0,282.75,2.97,217.0,94360.0
20170425:0000,7.97,71.25,0.0,-0.0,0.0,273.05,3.31,223.0,94330.0
20170425:0100,8.07,68.6,0.0,-0.0,0.0,274.15,3.45,227.0,94270.0
20170425:0200,8.31,66.15,0.0,-0.0,0.0,284.5,3.66,230.0,94270.0
20170425:0300,8.61,68.7,0.0,-0.0,0.0,298.8,3.72,234.0,94250.0
20170425:0400,8.48,71.35,0.0,-0.0,0.0,300.95,3.79,236.0,94230.0
20170425:0500,8.73,79.75,9.0,0.0,9.0,316.6,4.07,239.0,94230.0
20170425:0600,9.38,79.9,34.0,0.0,34.0,304.2,4.0,243.0,94270.0
20170425:0700,10.39,83.0,89.0,0.0,89.0,305.55,3.17,253.0,94290.0
20170425:0800,11.15,77.2,127.0,0.0,127.0,314.85,3.45,256.0,94310.0
20170425:0900,11.89,69.35,472.0,155.27,360.0,322.05,3.45,256.0,94330.0
20170425:1000,12.26,69.35,202.0,0.0,202.0,328.6,3.38,256.0,94300.0
20170425:1100,12.45,66.95,560.0,179.84,413.0,335.4,3.24,258.0,94280.0
20170425:1200,12.22,71.95,0.0,0.0,0.0,344.5,2.62,265.0,94240.0
20170425:1300,11.97,71.95,0.0,0.0,0.0,340.0,2.34,281.0,94200.0
20170425:1400,11.11,80.1,147.0,0.0,147.0,339.25,2.41,296.0,94180.0
20170425:1500,10.17,89.2,75.0,0.0,75.0,341.55,2.28,301.0,94200.0
20170425:1600,9.46,89.15,36.0,0.0,36.0,341.2,1.86,304.0,94200.0
20170425:1700,8.81,89.1,24.0,0.0,24.0,342.75,1.52,307.0,94240.0
20170425:1800,8.12,92.4,0.0,0.0,0.0,342.75,1.59,328.0,94260.0
20170425:1900,7.04,92.35,0.0,-0.0,0.0,337.1,1.38,13.0,94310.0
20170425:2000,6.55,92.3,0.0,-0.0,0.0,338.1,1.66,39.0,94310.0
20170425:2100,6.1,95.75,0.0,-0.0,0.0,335.75,1.86,36.0,94300.0
20170425:2200,5.53,95.75,0.0,-0.0,0.0,335.4,2.41,36.0,94270.0
20170425:2300,4.59,99.4,0.0,-0.0,0.0,334.6,2.9,42.0,94250.0
20170426:0000,3.77,92.2,0.0,-0.0,0.0,331.9,2.62,46.0,94220.0
20170426:0100,3.24,95.7,0.0,-0.0,0.0,330.65,2.62,38.0,94200.0
20170426:0200,2.45,95.7,0.0,-0.0,0.0,328.6,2.48,25.0,94200.0
20170426:0300,1.85,95.65,0.0,-0.0,0.0,327.25,2.55,18.0,94180.0
20170426:0400,1.37,99.4,0.0,-0.0,0.0,325.1,2.48,15.0,94190.0
20170426:0500,1.17,100.0,10.0,0.0,10.0,322.8,2.55,16.0,94220.0
20170426:0600,1.12,100.0,26.0,0.0,26.0,321.05,2.55,21.0,94270.0
20170426:0700,1.05,99.35,55.0,0.0,55.0,317.0,1.86,18.0,94320.0
20170426:0800,1.54,99.4,90.0,0.0,90.0,313.9,2.14,17.0,94330.0
20170426:0900,1.91,95.65,134.0,0.0,134.0,315.25,2.14,15.0,94360.0
20170426:1000,2.56,92.15,142.0,0.0,142.0,317.75,2.21,15.0,94400.0
20170426:1100,3.27,85.45,207.0,0.0,207.0,315.65,1.93,18.0,94430.0
20170426:1200,4.07,82.3,107.0,0.0,107.0,313.1,1.86,21.0,94440.0
20170426:1300,4.69,82.3,184.0,0.0,184.0,316.6,1.86,17.0,94450.0
20170426:1400,4.99,79.3,75.0,0.0,75.0,320.1,1.79,17.0,94460.0
20170426:1500,5.16,79.3,124.0,0.0,124.0,314.1,1.52,27.0,94470.0
20170426:1600,5.35,76.4,36.0,0.0,36.0,306.75,1.24,45.0,94490.0
20170426:1700,5.25,76.4,13.0,0.0,13.0,310.4,0.83,68.0,94500.0
20170426:1800,4.77,82.35,0.0,0.0,0.0,305.95,0.69,101.0,94530.0
20170426:1900,3.94,82.3,0.0,-0.0,0.0,304.4,1.03,118.0,94580.0
20170426:2000,3.44,88.75,0.0,-0.0,0.0,308.5,0.76,134.0,94640.0
20170426:2100,2.96,92.15,0.0,-0.0,0.0,302.5,0.55,143.0,94660.0
20170426:2200,2.89,88.7,0.0,-0.0,0.0,296.85,0.34,103.0,94650.0
20170426:2300,2.16,95.65,0.0,-0.0,0.0,286.8,0.69,66.0,94650.0
20170427:0000,1.44,95.65,0.0,-0.0,0.0,282.15,0.83,51.0,94610.0
20170427:0100,1.49,99.4,0.0,-0.0,0.0,290.8,0.55,12.0,94630.0
20170427:0200,1.34,99.4,0.0,-0.0,0.0,302.5,0.69,4.0,94630.0
20170427:0300,1.08,99.35,0.0,-0.0,0.0,298.4,0.76,27.0,94640.0
20170427:0400,0.9,99.35,0.0,-0.0,0.0,295.5,0.28,20.0,94650.0
20170427:0500,0.84,99.35,10.0,0.0,10.0,299.95,0.21,319.0,94700.0
20170427:0600,1.11,99.35,43.0,0.0,43.0,301.5,0.28,4.0,94740.0
20170427:0700,2.17,95.65,66.0,0.0,66.0,312.15,1.38,344.0,94770.0
20170427:0800,3.09,88.7,110.0,0.0,110.0,317.0,1.17,12.0,94800.0
20170427:0900,4.15,82.3,181.0,0.0,181.0,313.9,1.1,26.0,94830.0
20170427:1000,5.14,79.3,165.0,0.0,165.0,316.2,1.03,21.0,94810.0
20170427:1100,6.01,73.65,186.0,0.0,186.0,314.3,0.9,25.0,94770.0
20170427:1200,6.69,70.95,281.0,2.48,279.0,312.95,0.97,23.0,94750.0
20170427:1300,6.91,68.4,141.0,0.0,141.0,308.65,1.31,21.0,94730.0
20170427:1400,6.73,71.05,104.0,0.0,104.0,308.3,1.45,21.0,94720.0
20170427:1500,6.58,73.7,96.0,0.0,96.0,309.65,1.72,30.0,94730.0
20170427:1600,6.19,79.4,67.0,0.0,67.0,314.65,1.66,44.0,94720.0
20170427:1700,5.71,85.6,19.0,0.0,19.0,310.6,1.38,70.0,94740.0
20170427:1800,5.04,88.85,1.0,0.0,1.0,305.55,1.59,81.0,94720.0
20170427:1900,3.53,88.75,0.0,-0.0,0.0,311.0,1.72,31.0,94760.0
20170427:2000,3.16,92.15,0.0,-0.0,0.0,312.35,1.79,30.0,94770.0
20170427:2100,2.85,92.15,0.0,-0.0,0.0,313.5,1.72,22.0,94750.0
20170427:2200,2.42,92.15,0.0,-0.0,0.0,312.35,1.86,20.0,94710.0
20170427:2300,1.9,95.65,0.0,-0.0,0.0,314.85,2.07,20.0,94640.0
20170428:0000,1.59,99.4,0.0,-0.0,0.0,314.5,2.34,13.0,94580.0
20170428:0100,1.48,99.4,0.0,-0.0,0.0,314.6,2.48,6.0,94560.0
20170428:0200,1.37,99.4,0.0,-0.0,0.0,318.15,3.1,10.0,94520.0
20170428:0300,1.27,99.4,0.0,-0.0,0.0,319.9,2.97,11.0,94480.0
20170428:0400,1.23,99.4,0.0,-0.0,0.0,320.3,2.9,6.0,94460.0
20170428:0500,1.27,99.4,18.0,0.0,18.0,320.65,3.1,359.0,94480.0
20170428:0600,1.25,99.4,42.0,0.0,42.0,317.95,3.17,356.0,94500.0
20170428:0700,1.39,99.4,42.0,0.0,42.0,319.5,3.03,5.0,94560.0
20170428:0800,1.71,95.65,106.0,0.0,106.0,318.55,3.31,8.0,94590.0
20170428:0900,2.51,92.15,123.0,0.0,123.0,318.35,3.38,6.0,94620.0
20170428:1000,3.38,85.45,117.0,0.0,117.0,316.8,2.69,348.0,94650.0
20170428:1100,4.36,88.8,248.0,0.0,248.0,322.6,2.41,326.0,94670.0
20170428:1200,5.39,88.85,161.0,0.0,161.0,319.1,2.41,310.0,94720.0
20170428:1300,6.41,85.7,344.0,24.02,326.0,313.3,2.55,298.0,94740.0
20170428:1400,7.26,79.65,129.0,0.0,129.0,306.15,2.55,292.0,94780.0
20170428:1500,7.32,76.7,315.0,125.02,250.0,301.7,2.55,280.0,94790.0
20170428:1600,7.23,76.65,169.0,43.68,153.0,302.65,2.48,271.0,94830.0
20170428:1700,6.61,76.55,50.0,0.0,50.0,295.7,2.28,250.0,94870.0
20170428:1800,5.23,79.35,1.0,0.0,1.0,273.65,2.55,235.0,94920.0
20170428:1900,3.5,82.25,0.0,-0.0,0.0,254.65,3.03,223.0,95060.0
20170428:2000,2.8,85.4,0.0,-0.0,0.0,254.1,3.24,228.0,95130.0
20170428:2100,2.24,88.65,0.0,-0.0,0.0,246.75,3.24,228.0,95160.0
20170428:2200,1.74,88.65,0.0,-0.0,0.0,241.15,3.17,225.0,95170.0
20170428:2300,1.31,92.05,0.0,-0.0,0.0,236.85,3.03,223.0,95160.0
20170429:0000,0.95,92.05,0.0,-0.0,0.0,234.55,2.9,225.0,95160.0
20170429:0100,0.66,95.65,0.0,-0.0,0.0,236.2,2.76,228.0,95170.0
20170429:0200,0.4,92.0,0.0,-0.0,0.0,236.3,2.62,227.0,95160.0
20170429:0300,0.17,92.0,0.0,-0.0,0.0,236.5,2.48,226.0,95190.0
20170429:0400,-0.01,92.0,0.0,0.0,0.0,241.15,2.34,226.0,95190.0
20170429:0500,0.35,92.0,27.0,0.0,27.0,243.65,2.07,223.0,95220.0
20170429:0600,2.36,88.65,120.0,8.9,117.0,247.7,1.93,221.0,95220.0
20170429:0700,4.74,82.35,470.0,688.58,130.0,250.05,2.62,226.0,95280.0
20170429:0800,6.62,70.95,631.0,770.24,146.0,253.3,2.62,239.0,95280.0
20170429:0900,7.8,61.2,786.0,901.56,123.0,263.2,2.21,234.0,95270.0
20170429:1000,9.01,52.7,745.0,551.18,302.0,279.65,2.14,232.0,95230.0
20170429:1100,9.96,47.2,857.0,798.78,194.0,274.05,1.93,229.0,95170.0
20170429:1200,10.62,45.55,300.0,3.69,297.0,294.15,1.72,235.0,95140.0
20170429:1300,11.25,43.95,164.0,0.0,164.0,310.2,1.38,252.0,95120.0
20170429:1400,11.67,42.4,316.0,35.19,293.0,296.65,1.03,277.0,95080.0
20170429:1500,11.72,40.8,239.0,30.59,223.0,302.5,0.69,308.0,95050.0
20170429:1600,11.66,40.8,183.0,59.53,161.0,299.75,0.55,360.0,95050.0
20170429:1700,11.42,42.4,128.0,220.96,83.0,267.45,0.97,41.0,95030.0
20170429:1800,9.77,52.95,4.0,0.0,4.0,258.15,1.93,55.0,95040.0
20170429:1900,7.68,63.5,0.0,-0.0,0.0,260.5,2.28,85.0,95050.0
20170429:2000,6.38,65.75,0.0,-0.0,0.0,263.4,2.28,100.0,95070.0
20170429:2100,5.07,70.7,0.0,-0.0,0.0,247.7,2.28,112.0,95050.0
20170429:2200,4.21,73.4,0.0,-0.0,0.0,255.65,2.14,117.0,95050.0
20170429:2300,3.18,79.1,0.0,-0.0,0.0,245.95,2.14,108.0,95000.0
20170430:0000,2.25,79.0,0.0,-0.0,0.0,239.2,2.21,98.0,94970.0
20170430:0100,1.51,85.25,0.0,-0.0,0.0,237.55,2.21,94.0,94940.0
20170430:0200,0.9,85.2,0.0,-0.0,0.0,236.5,2.28,89.0,94920.0
20170430:0300,0.5,85.15,0.0,-0.0,0.0,234.75,2.34,87.0,94910.0
20170430:0400,0.29,85.15,0.0,0.0,0.0,233.6,2.41,87.0,94910.0
20170430:0500,0.94,85.2,136.0,482.22,52.0,233.2,2.41,86.0,94910.0
20170430:0600,3.54,79.15,315.0,668.6,87.0,234.75,2.41,84.0,94900.0
20170430:0700,5.63,76.4,502.0,803.89,102.0,237.65,2.83,91.0,94910.0
20170430:0800,7.61,71.15,662.0,855.93,120.0,243.45,3.1,93.0,94870.0
20170430:0900,9.48,63.9,801.0,925.92,117.0,248.85,3.24,95.0,94830.0
20170430:1000,11.18,57.4,892.0,965.46,113.0,254.65,3.45,95.0,94750.0
20170430:1100,12.63,53.6,934.0,996.38,104.0,259.9,3.72,93.0,94670.0
20170430:1200,13.76,50.0,894.0,943.11,125.0,265.7,4.07,90.0,94590.0
20170430:1300,14.55,44.9,825.0,944.13,112.0,268.4,4.34,90.0,94530.0
20170430:1400,14.96,44.9,706.0,920.01,102.0,270.55,4.34,90.0,94470.0
20170430:1500,15.02,44.9,536.0,819.24,105.0,272.3,4.28,90.0,94420.0
20170430:1600,11.13,53.64,358.0,734.94,84.0,266.63,3.03,89.0,94360.0
20170430:1700,11.07,56.01,164.0,492.46,62.0,268.39,3.03,86.0,94300.0
20170430:1800,11.0,58.38,7.0,0.0,7.0,270.15,3.03,84.0,94270.0
20170430:1900,10.94,60.75,0.0,-0.0,0.0,271.91,3.03,82.0,94250.0
20170430:2000,10.87,63.12,0.0,-0.0,0.0,273.67,3.03,78.0,94240.0
20170430:2100,10.8,65.49,0.0,-0.0,0.0,275.44,3.04,79.0,94240.0
20170430:2200,10.74,67.87,0.0,-0.0,0.0,277.2,3.04,89.0,94230.0
20170430:2300,10.67,70.24,0.0,-0.0,0.0,278.96,3.04,98.0,94200.0
20120501:0000,10.61,72.61,0.0,-0.0,0.0,280.72,3.04,220.0,94660.0
20120501:0100,10.54,74.98,0.0,-0.0,0.0,282.48,3.04,234.0,94680.0
20120501:0200,10.47,77.35,0.0,-0.0,0.0,284.24,3.04,247.0,94770.0
20120501:0300,10.41,79.72,0.0,-0.0,0.0,286.01,3.04,254.0,94840.0
20120501:0400,10.34,82.09,0.0,0.0,0.0,287.77,3.04,255.0,94930.0
20120501:0500,10.27,84.46,101.0,153.37,73.0,289.53,3.05,253.0,95010.0
20120501:0600,10.21,86.83,297.0,556.05,103.0,291.29,3.05,251.0,95090.0
20120501:0700,10.14,89.21,475.0,697.1,123.0,293.05,3.05,247.0,95160.0
20120501:0800,13.46,62.45,628.0,757.69,143.0,290.5,2.83,255.0,95170.0
20120501:0900,14.68,58.25,757.0,813.26,151.0,307.9,2.48,267.0,95220.0
20120501:1000,15.75,54.35,852.0,874.61,141.0,304.4,2.07,280.0,95210.0
20120501:1100,16.62,52.65,704.0,404.14,365.0,325.5,1.52,282.0,95230.0
20120501:1200,16.85,52.65,354.0,15.83,341.0,335.0,1.31,292.0,95200.0
20120501:1300,17.09,52.75,522.0,189.26,378.0,327.25,1.52,334.0,95180.0
20120501:1400,17.51,52.75,639.0,711.15,168.0,328.2,1.86,2.0,95140.0
20120501:1500,18.0,51.0,497.0,676.51,137.0,341.55,1.93,15.0,95130.0
20120501:1600,17.77,52.75,324.0,553.76,114.0,362.65,1.59,4.0,95100.0
20120501:1700,17.08,58.8,144.0,299.11,80.0,369.45,1.17,338.0,95120.0
20120501:1800,16.28,60.75,3.0,0.0,3.0,362.85,1.86,336.0,95090.0
20120501:1900,15.4,69.9,0.0,-0.0,0.0,327.65,2.21,6.0,95010.0
20120501:2000,14.32,74.95,0.0,-0.0,0.0,328.0,2.34,2.0,95010.0
20120501:2100,13.67,77.6,0.0,-0.0,0.0,335.0,2.55,353.0,94960.0
20120501:2200,13.05,83.25,0.0,-0.0,0.0,331.7,2.55,2.0,94920.0
20120501:2300,12.46,86.25,0.0,-0.0,0.0,324.75,1.93,11.0,94880.0
20120502:0000,11.92,92.6,0.0,-0.0,0.0,331.1,1.38,10.0,94820.0
20120502:0100,11.11,95.9,0.0,-0.0,0.0,325.05,1.45,7.0,94730.0
20120502:0200,10.25,99.4,0.0,-0.0,0.0,309.25,1.38,357.0,94690.0
20120502:0300,10.3,99.4,0.0,-0.0,0.0,298.2,0.83,286.0,94650.0
20120502:0400,8.27,100.0,0.0,0.0,0.0,294.95,1.45,241.0,94640.0
20120502:0500,8.74,99.4,142.0,450.09,58.0,297.25,1.72,230.0,94670.0
20120502:0600,11.85,95.9,302.0,561.38,104.0,288.15,2.0,226.0,94710.0
20120502:0700,14.07,86.4,478.0,692.22,126.0,291.45,2.07,233.0,94720.0
20120502:0800,15.79,77.85,637.0,772.43,140.0,295.7,3.72,237.0,94760.0
20120502:0900,16.93,67.75,758.0,807.21,154.0,307.1,4.07,242.0,94790.0
20120502:1000,17.7,63.2,750.0,563.82,290.0,312.75,3.93,247.0,94780.0
20120502:1100,18.38,58.9,768.0,545.37,309.0,331.5,3.72,250.0,94790.0
20120502:1200,18.9,53.0,848.0,833.93,161.0,319.3,3.59,251.0,94790.0
20120502:1300,19.06,49.45,775.0,811.93,155.0,330.55,3.45,256.0,94760.0
20120502:1400,18.99,49.45,640.0,700.6,174.0,334.2,3.24,261.0,94780.0
20120502:1500,18.43,51.0,458.0,498.96,191.0,328.8,2.9,266.0,94740.0
20120502:1600,18.28,51.0,290.0,358.29,153.0,338.3,2.76,273.0,94720.0
20120502:1700,17.37,56.75,101.0,69.01,86.0,311.55,2.28,274.0,94730.0
